,portfolio,investment,cash
2018-04-02,100000.0,0.0,100000.0
2018-04-03,100000.0,0.0,100000.0
2018-04-04,100000.0,0.0,100000.0
2018-04-05,100000.0,0.0,100000.0
2018-04-06,100000.0,0.0,100000.0
2018-04-09,100348.07349014282,81467.15388870239,18880.91960144043
2018-04-10,100142.33639526367,81261.41679382324,18880.91960144043
2018-04-11,100207.57571029663,81326.6561088562,18880.91960144043
2018-04-12,100279.63254547119,81398.71294403076,18880.91960144043
2018-04-13,100442.60768508911,81561.68808364868,18880.91960144043
2018-04-16,100953.19219970703,82072.2725982666,18880.91960144043
2018-04-17,101162.50227355957,82281.58267211914,18880.91960144043
2018-04-18,100951.91653060913,82070.9969291687,18880.91960144043
2018-04-19,101076.97704315186,82196.05744171143,18880.91960144043
2018-04-20,101400.99169158936,82520.07209014893,18880.91960144043
2018-04-23,102609.13302612305,83728.21342468262,18880.91960144043
2018-04-24,102690.65161895752,83809.73201751709,18880.91960144043
2018-04-25,103253.75911712646,84372.83951568604,18880.91960144043
2018-04-26,103787.07177734375,84906.15217590332,18880.91960144043
2018-04-27,103979.30812454224,85098.3885231018,18880.91960144043
2018-04-30,104316.75054168701,85435.83094024658,18880.91960144043
2018-05-02,103086.48611068726,84205.56650924683,18880.91960144043
2018-05-03,101772.43171310425,82891.51211166382,18880.91960144043
2018-05-04,101441.12186431885,82560.20226287842,18880.91960144043
2018-05-07,102145.20434951782,63168.89827919006,38976.30607032776
2018-05-08,102266.57423400879,63290.26816368103,38976.30607032776
2018-05-09,101910.82235717773,62934.516286849976,38976.30607032776
2018-05-10,101586.45919418335,62610.15312385559,38976.30607032776
2018-05-11,101809.62497329712,62833.31890296936,38976.30607032776
2018-05-14,101237.05084037781,62260.74477005005,38976.30607032776
2018-05-15,100850.6663608551,61874.360290527344,38976.30607032776
2018-05-16,101026.56427001953,62050.25819969177,38976.30607032776
2018-05-17,101031.71250724792,62055.406436920166,38976.30607032776
2018-05-18,99873.14350891113,60896.837438583374,38976.30607032776
2018-05-21,98818.5207939148,59842.214723587036,38976.30607032776
2018-05-22,99480.57316017151,60504.26708984375,38976.30607032776
2018-05-23,99106.10510826111,60129.79903793335,38976.30607032776
2018-05-24,99109.84065628052,60133.53458595276,38976.30607032776
2018-05-25,99958.86969184875,60982.563621520996,38976.30607032776
2018-05-28,100134.4942073822,61158.18813705444,38976.30607032776
2018-05-29,100101.44419670105,61125.13812637329,38976.30607032776
2018-05-30,100099.87607955933,61123.57000923157,38976.30607032776
2018-05-31,100061.38886451721,61085.08279418945,38976.30607032776
2018-06-01,99334.1807422638,60357.874671936035,38976.30607032776
2018-06-04,98645.51672744751,60835.8491230011,37809.66760444641
2018-06-05,98299.53454780579,60489.866943359375,37809.66760444641
2018-06-06,98902.42633247375,61092.758728027344,37809.66760444641
2018-06-07,99363.62955665588,61553.96195220947,37809.66760444641
2018-06-08,99249.77202415466,61440.10441970825,37809.66760444641
2018-06-11,99380.44260406494,61570.77499961853,37809.66760444641
2018-06-12,99848.91424369812,62039.24663925171,37809.66760444641
2018-06-13,99816.3346748352,62006.667070388794,37809.66760444641
2018-06-14,99693.75030326843,61884.08269882202,37809.66760444641
2018-06-15,99544.58571434021,61734.9181098938,37809.66760444641
2018-06-18,99157.33940505981,61347.6718006134,37809.66760444641
2018-06-19,98317.19380760193,60507.52620315552,37809.66760444641
2018-06-20,98405.54508781433,60595.87748336792,37809.66760444641
2018-06-21,98142.82760810852,60333.16000366211,37809.66760444641
2018-06-22,98790.87930870056,60981.21170425415,37809.66760444641
2018-06-25,98550.73649597168,60741.06889152527,37809.66760444641
2018-06-26,98526.53877830505,60716.87117385864,37809.66760444641
2018-06-27,98143.34621620178,60333.67861175537,37809.66760444641
2018-06-28,97567.22196769714,59757.55436325073,37809.66760444641
2018-06-29,98394.08013725281,60584.4125328064,37809.66760444641
2018-07-02,97931.55572128296,60121.88811683655,37809.66760444641
2018-07-03,98483.4949016571,60673.82729721069,37809.66760444641
2018-07-04,98658.20530891418,60848.53770446777,37809.66760444641
2018-07-05,98696.83722877502,60887.16962432861,37809.66760444641
2018-07-06,98689.56475448608,60879.89715003967,37809.66760444641
2018-07-09,99211.12353897095,28850.5400390625,70360.58349990845
2018-07-10,99213.838306427,28853.254806518555,70360.58349990845
2018-07-11,99397.28870010376,29036.705200195312,70360.58349990845
2018-07-12,99468.7085609436,29108.125061035156,70360.58349990845
2018-07-13,99423.51356887817,29062.930068969727,70360.58349990845
2018-07-16,99294.32368850708,28933.740188598633,70360.58349990845
2018-07-17,99371.12837600708,29010.544876098633,70360.58349990845
2018-07-18,99278.85858535767,28918.27508544922,70360.58349990845
2018-07-19,99276.79350662231,28916.210006713867,70360.58349990845
2018-07-20,99443.61352920532,29083.030029296875,70360.58349990845
2018-07-23,99866.3484840393,29505.76498413086,70360.58349990845
2018-07-24,99955.21353530884,29594.63003540039,70360.58349990845
2018-07-25,99881.29852676392,29520.71502685547,70360.58349990845
2018-07-26,99990.87851333618,29630.295013427734,70360.58349990845
2018-07-27,99873.84338760376,29513.259887695312,70360.58349990845
2018-07-30,99856.9082069397,29496.32470703125,70360.58349990845
2018-07-31,100024.80392837524,29664.220428466797,70360.58349990845
2018-08-01,100351.99863052368,29991.415130615234,70360.58349990845
2018-08-02,100162.13849258423,29801.55499267578,70360.58349990845
2018-08-03,100603.6236000061,30243.040100097656,70360.58349990845
2018-08-06,100516.40757465363,71171.46986675262,29344.937707901
2018-08-07,100087.59534168243,70742.65763378143,29344.937707901
2018-08-08,100255.77293586731,70910.83522796631,29344.937707901
2018-08-09,100630.67628192902,71285.73857402802,29344.937707901
2018-08-10,100291.59414863586,70946.65644073486,29344.937707901
2018-08-13,99747.65681362152,70402.71910572052,29344.937707901
2018-08-14,100313.05655670166,70968.11884880066,29344.937707901
2018-08-16,100237.86643981934,70892.92873191833,29344.937707901
2018-08-17,100822.48511695862,71477.54740905762,29344.937707901
2018-08-20,101373.4311876297,72028.4934797287,29344.937707901
2018-08-21,101632.61320972443,72287.67550182343,29344.937707901
2018-08-23,101617.9884223938,72273.0507144928,29344.937707901
2018-08-24,101704.95687866211,72360.01917076111,29344.937707901
2018-08-27,102358.51357650757,73013.57586860657,29344.937707901
2018-08-28,102171.24448394775,72826.30677604675,29344.937707901
2018-08-29,102475.92862701416,73130.99091911316,29344.937707901
2018-08-30,102754.16117095947,73409.22346305847,29344.937707901
2018-08-31,103064.51323318481,73719.57552528381,29344.937707901
2018-09-03,101869.00578022003,72524.06807231903,29344.937707901
2018-09-04,99989.18575191498,70644.24804401398,29344.937707901
2018-09-05,99806.26310920715,70461.32540130615,29344.937707901
2018-09-06,100536.61200618744,71191.67429828644,29344.937707901
2018-09-07,101224.77330207825,71879.83559417725,29344.937707901
2018-09-10,99849.40468120575,86242.36202430725,13607.042656898499
2018-09-11,99176.34082603455,85569.29816913605,13607.042656898499
2018-09-12,99137.51204967499,85530.46939277649,13607.042656898499
